[討論] 2024.04.13 開獎結果,1,Sun Apr 14 23:13:46 2024
[報牌] 虎斑法鬥 39 二合,0,Mon Apr 15 06:30:32 2024
(本文已被刪除),0,(本文已被刪除)
[報牌] 享受輸的感覺539,8,Mon Apr 15 16:57:49 2024
[真相] 3組539,5,Mon Apr 15 20:43:04 2024
[討論] 2024.04.15 開獎結果 威力彩 2.7億,4,Mon Apr 15 22:31:52 2024
[報牌] 虎斑法鬥 39 二合,0,Tue Apr 16 06:31:44 2024
[報牌] 救救我啊我救我539,0,Tue Apr 16 16:14:36 2024
[真相] 兩組威力彩,3,Tue Apr 16 17:03:30 2024
[報牌] 享受輸的感覺539,8,Tue Apr 16 17:25:19 2024
[報牌] 三九二合,0,Tue Apr 16 19:30:47 2024
[閒聊] 就連神都救不了我,1,Tue Apr 16 20:14:01 2024
[討論] 2024.04.16 開獎結果 大樂透 1.0億,1,Tue Apr 16 22:42:38 2024
[報牌] 虎斑法鬥 39 二合,0,Wed Apr 17 06:22:47 2024
[報牌] 39二合,0,Wed Apr 17 17:37:41 2024
[報牌] 享受輸的感覺539,15,Wed Apr 17 19:01:33 2024
[真相] 4星彩,1,Wed Apr 17 20:51:52 2024
[討論] 2024.04.17 開獎結果,1,Wed Apr 17 22:45:46 2024
[情報] 樂透小常識 (編修:2019/05/01),32,([情報]沒有時間)
[公告] 樂透版版規 2016.08.21,4,Sun Aug 21 23:14:10 2016
Re: [閒聊] 刮刮樂機率分析彙整,1,Wed Feb 21 23:20:51 2024
